eval_set,run,run_label,seed,diversity,best_at_3,best_at_5,best_at_10,best_at_30
min5_eval,soft_muon_p05_multirlvr,Soft-Muon p=0.5,4246,1.2857142947968982,0.75,0.75,0.75,0.75
min5_eval,soft_muon_p05_multirlvr,Soft-Muon p=0.5,4247,1.3876190276373,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071
min5_eval,soft_muon_p05_multirlvr,Soft-Muon p=0.5,4248,0.0,0.0,0.0,0.0,0.0
min5_eval,soft_muon_p05_multirlvr,Soft-Muon p=0.5,4249,0.0,0.0,0.0,0.0,0.0
min5_eval,soft_muon_p05_multirlvr,Soft-Muon p=0.5,4250,1.1695238198552813,0.75,0.75,0.75,0.75
min5_eval,soft_muon_p05_multirlvr,Soft-Muon p=0.5,4251,1.645714269365583,0.0,0.75,0.75,0.75
min5_eval,soft_muon_p05_multirlvr,Soft-Muon p=0.5,4252,0.0,0.0,0.0,0.0,0.0
min5_eval,soft_muon_p05_multirlvr,Soft-Muon p=0.5,4253,1.1904761904761905,0.75,0.75,0.75,0.75
min5_eval,soft_muon_p05_multirlvr,Soft-Muon p=0.5,4254,1.2857142630077543,0.75,0.75,0.75,0.75
min5_eval,soft_muon_p05_multirlvr,Soft-Muon p=0.5,4255,0.0,0.0,0.0,0.0,0.0
min5_eval,soft_muon_p05_multirlvr,Soft-Muon p=0.5,4256,0.9219047614506313,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071
min5_eval,soft_muon_p05_multirlvr,Soft-Muon p=0.5,4257,1.5599999836512974,0.0,0.699999988079071,0.699999988079071,0.699999988079071
min_eval,adam_multirlvr,AdamW Multi-RLVR,4242,0.0,0.0,0.0,0.0,0.0
min_eval,adam_multirlvr,AdamW Multi-RLVR,4243,0.0,0.0,0.0,0.0,0.0
min_eval,adam_multirlvr,AdamW Multi-RLVR,4244,0.0,0.0,0.0,0.0,0.0
min_eval,adam_multirlvr,AdamW Multi-RLVR,4245,0.0,0.0,0.0,0.0,0.0
min_eval,adam_multirlvr,AdamW Multi-RLVR,4246,0.0,0.0,0.0,0.0,0.0
min_eval,adam_multirlvr,AdamW Multi-RLVR,4247,0.0,0.0,0.0,0.0,0.0
min_eval,adam_multirlvr,AdamW Multi-RLVR,4248,0.0,0.0,0.0,0.0,0.0
min_eval,adam_multirlvr,AdamW Multi-RLVR,4249,0.0,0.0,0.0,0.0,0.0
min_eval,adam_multirlvr,AdamW Multi-RLVR,4250,0.0,0.0,0.0,0.0,0.0
min_eval,adam_multirlvr,AdamW Multi-RLVR,4251,0.0,0.0,0.0,0.0,0.0
min_eval,adam_multirlvr,AdamW Multi-RLVR,4252,0.0,0.0,0.0,0.0,0.0
min_eval,adam_multirlvr,AdamW Multi-RLVR,4253,0.0,0.0,0.0,0.0,0.0
min_eval,adam_multirlvr,AdamW Multi-RLVR,4254,0.0,0.0,0.0,0.0,0.0
min_eval,adam_multirlvr,AdamW Multi-RLVR,4255,0.0,0.0,0.0,0.0,0.0
min_eval,adam_multirlvr,AdamW Multi-RLVR,4256,0.0,0.0,0.0,0.0,0.0
min_eval,adam_multirlvr,AdamW Multi-RLVR,4257,0.0,0.0,0.0,0.0,0.0
min_eval,adam_vpo,AdamW VPO,4242,0.0,0.0,0.0,0.0,0.0
min_eval,adam_vpo,AdamW VPO,4243,0.0,0.0,0.0,0.0,0.0
min_eval,adam_vpo,AdamW VPO,4244,0.0,0.0,0.0,0.0,0.0
min_eval,adam_vpo,AdamW VPO,4245,0.0,0.0,0.0,0.0,0.0
min_eval,adam_vpo,AdamW VPO,4246,0.0,0.0,0.0,0.0,0.0
min_eval,adam_vpo,AdamW VPO,4247,0.0,0.0,0.0,0.0,0.0
min_eval,adam_vpo,AdamW VPO,4248,0.0,0.0,0.0,0.0,0.0
min_eval,adam_vpo,AdamW VPO,4249,0.0,0.0,0.0,0.0,0.0
min_eval,adam_vpo,AdamW VPO,4250,0.0,0.0,0.0,0.0,0.0
min_eval,adam_vpo,AdamW VPO,4251,0.0,0.0,0.0,0.0,0.0
min_eval,adam_vpo,AdamW VPO,4252,0.0,0.0,0.0,0.0,0.0
min_eval,adam_vpo,AdamW VPO,4253,0.0,0.0,0.0,0.0,0.0
min_eval,adam_vpo,AdamW VPO,4254,0.0,0.0,0.0,0.0,0.0
min_eval,adam_vpo,AdamW VPO,4255,0.0,0.0,0.0,0.0,0.0
min_eval,adam_vpo,AdamW VPO,4256,0.0,0.0,0.0,0.0,0.0
min_eval,adam_vpo,AdamW VPO,4257,0.0,0.0,0.0,0.0,0.0
min_eval,muon_multirlvr,Muon Multi-RLVR,4242,0.0,0.0,0.0,0.0,0.0
min_eval,muon_multirlvr,Muon Multi-RLVR,4243,0.0,0.0,0.0,0.0,0.0
min_eval,muon_multirlvr,Muon Multi-RLVR,4244,0.0,0.0,0.0,0.0,0.0
min_eval,muon_multirlvr,Muon Multi-RLVR,4245,0.0,0.0,0.0,0.0,0.0
min_eval,muon_multirlvr,Muon Multi-RLVR,4246,0.0,0.0,0.0,0.0,0.0
min_eval,muon_multirlvr,Muon Multi-RLVR,4247,0.0,0.0,0.0,0.0,0.0
min_eval,muon_multirlvr,Muon Multi-RLVR,4248,0.0,0.0,0.0,0.0,0.0
min_eval,muon_multirlvr,Muon Multi-RLVR,4249,0.0,0.0,0.0,0.0,0.0
min_eval,muon_multirlvr,Muon Multi-RLVR,4250,0.0,0.0,0.0,0.0,0.0
min_eval,muon_multirlvr,Muon Multi-RLVR,4251,0.0,0.0,0.0,0.0,0.0
min_eval,muon_multirlvr,Muon Multi-RLVR,4252,0.0,0.0,0.0,0.0,0.0
min_eval,muon_multirlvr,Muon Multi-RLVR,4253,0.0,0.0,0.0,0.0,0.0
min_eval,muon_multirlvr,Muon Multi-RLVR,4254,0.0,0.0,0.0,0.0,0.0
min_eval,muon_multirlvr,Muon Multi-RLVR,4255,0.0,0.0,0.0,0.0,0.0
min_eval,muon_multirlvr,Muon Multi-RLVR,4256,0.0,0.0,0.0,0.0,0.0
min_eval,muon_multirlvr,Muon Multi-RLVR,4257,0.0,0.0,0.0,0.0,0.0
